,Latitude,Longitude
0,31.9725761,-94.0054691
1,31.9718651,-94.0082554
2,31.9717322,-94.0087858
3,31.9716165,-94.0092204
4,31.9715427,-94.0095127
5,31.9715232,-94.00959
6,31.9714608,-94.0099186
7,31.9714119,-94.0102656
8,31.9713819,-94.0105831
9,31.9712791,-94.0109199
10,31.9712885,-94.0113432
11,31.9712917,-94.0122221
12,31.9712976,-94.0126198
13,31.9713035,-94.0129219
14,31.9713049,-94.0132091
15,31.9712975,-94.013507
16,31.9712841,-94.0138254
17,31.9712638,-94.0140787
18,31.9712414,-94.0143197
19,31.9712103,-94.0145667
20,31.9711723,-94.014821
21,31.9711325,-94.0150537
22,31.9710807,-94.0153047
23,31.9710116,-94.0156116
24,31.9708102,-94.0164175
25,31.9704745,-94.0177455
26,31.9703703,-94.0181483
27,31.9703304,-94.0183027
28,31.9702474,-94.0186242
29,31.9701291,-94.0190817
30,31.9698967,-94.019981
31,31.9697576,-94.0205044
32,31.9696654,-94.0208644
33,31.96955,-94.0213153
34,31.9693709,-94.0220145
35,31.9692569,-94.0224691
36,31.967814,-94.0281263
37,31.9675251,-94.0292347
38,31.9669642,-94.0314582
39,31.9669099,-94.0316658
40,31.9668569,-94.0318491
41,31.9667974,-94.032038
42,31.966729,-94.0322216
43,31.9666401,-94.0324508
44,31.9665703,-94.0326131
45,31.9664869,-94.0327913
46,31.9664328,-94.0329005
47,31.9664103,-94.032946
48,31.9663365,-94.0330903
49,31.9662447,-94.0332682
50,31.9661685,-94.0333968
51,31.9660939,-94.0335253
52,31.9660166,-94.0336532
53,31.9659324,-94.0337919
54,31.9652701,-94.0348164
55,31.9650244,-94.0352059
56,31.9642768,-94.0364418
57,31.9641735,-94.0368207
58,31.9640933,-94.0370359
59,31.9640389,-94.0372004
60,31.9639721,-94.0374088
61,31.9639274,-94.0375542
62,31.9638731,-94.0377415
63,31.963816,-94.0379537
64,31.9637784,-94.0381445
65,31.9637406,-94.0383464
66,31.9637135,-94.0385151
67,31.9636909,-94.0386632
68,31.9636714,-94.0388444
69,31.9636562,-94.0390173
70,31.9636419,-94.0392202
71,31.9636315,-94.0394356
72,31.9636297,-94.0394733
73,31.9636284,-94.0396663
74,31.9636293,-94.039852
75,31.9636363,-94.0400121
76,31.9636493,-94.040184
77,31.9636642,-94.0403461
78,31.9636691,-94.0403987
79,31.963724,-94.0408985
80,31.9637588,-94.0411505
81,31.9638298,-94.0416658
82,31.963837,-94.0419315
83,31.9638547,-94.0420746
84,31.9639574,-94.0428852
85,31.9641593,-94.0446203
86,31.9642109,-94.045056
87,31.9642894,-94.0457297
88,31.964359,-94.0463328
89,31.9643973,-94.0466586
90,31.964423,-94.0468775
91,31.9646617,-94.0489057
92,31.9647695,-94.0498225
93,31.9648117,-94.0501808
94,31.9648978,-94.0508597
95,31.964927,-94.0510343
96,31.9649665,-94.0512399
97,31.9650053,-94.0514173
98,31.9650443,-94.0515713
99,31.9650997,-94.0517486
100,31.9651704,-94.0519441
101,31.9652472,-94.052135
102,31.9653311,-94.0523238
103,31.9654173,-94.0524906
104,31.9658509,-94.0533113
105,31.9659325,-94.0534763
106,31.9660107,-94.053652
107,31.9660626,-94.053786
108,31.966128,-94.0539689
109,31.9661618,-94.0540821
110,31.966199,-94.0542245
111,31.9662409,-94.0543909
112,31.9662676,-94.0545401
113,31.9662924,-94.0546744
114,31.9663102,-94.0547852
115,31.9663289,-94.0549156
116,31.9663555,-94.0551147
117,31.9665023,-94.0562788
118,31.966592,-94.0570623
119,31.9666984,-94.057911
120,31.9668174,-94.0587857
121,31.9669637,-94.0597033
122,31.9670359,-94.060033
123,31.9671187,-94.0604112
124,31.9672828,-94.0610976
125,31.9673639,-94.0615909
126,31.9674313,-94.0620682
127,31.9674758,-94.0625835
128,31.9674975,-94.0631042
129,31.967475,-94.0639847
130,31.967341,-94.0652188
131,31.9672278,-94.0661012
132,31.9670307,-94.0677631
133,31.9669655,-94.0684398
134,31.9669216,-94.0692513
135,31.9669073,-94.0700215
136,31.9669038,-94.0702131
137,31.9668902,-94.0720761
138,31.9668924,-94.0731503
139,31.9668739,-94.0769381
140,31.9668844,-94.0773306
141,31.9668965,-94.0775461
142,31.9669196,-94.0777812
143,31.9669497,-94.0780125
144,31.9669897,-94.0782596
145,31.96704,-94.0785079
146,31.9670972,-94.078748
147,31.9671575,-94.0789581
148,31.9672192,-94.079165
149,31.967299,-94.0794032
150,31.9673935,-94.07965
151,31.9681463,-94.0814196
152,31.9683652,-94.0819298
153,31.9692377,-94.0839646
154,31.9695617,-94.0847573
155,31.9696649,-94.0850293
156,31.9697296,-94.0852172
157,31.9697909,-94.0854262
158,31.9698526,-94.0856578
159,31.9699077,-94.0859086
160,31.9699533,-94.0861742
161,31.9700002,-94.0865178
162,31.9700236,-94.0867528
163,31.9700401,-94.0869926
164,31.97005,-94.0872349
165,31.9700517,-94.0874771
166,31.9700437,-94.0877376
167,31.9700328,-94.0879689
168,31.9699824,-94.0888507
169,31.9699749,-94.0889817
170,31.9698903,-94.0904693
171,31.9697842,-94.0923341
172,31.9697347,-94.0932041
173,31.9693671,-94.0996644
174,31.9690483,-94.1050264
175,31.9690103,-94.1058442
176,31.9689033,-94.1074852
177,31.9686462,-94.1119897
178,31.9686045,-94.1126401
179,31.9685548,-94.1132717
180,31.9684893,-94.1138707
181,31.968406,-94.1145234
182,31.9675272,-94.1206997
183,31.967027,-94.1242954
184,31.9669381,-94.1249504
185,31.9663275,-94.129243
186,31.9661414,-94.1305463
187,31.9660619,-94.1310547
188,31.9659963,-94.1313907
189,31.9659229,-94.1317103
190,31.9658456,-94.1319957
191,31.9650413,-94.1345999
192,31.9628694,-94.1415778
193,31.9624811,-94.1427913
194,31.9623153,-94.1432805
195,31.9621542,-94.1437146
196,31.9619537,-94.1441848
197,31.9617601,-94.1445723
198,31.9615411,-94.1449591
199,31.9613082,-94.1453337
200,31.9592901,-94.1483893
201,31.9590416,-94.1488138
202,31.9588819,-94.1491087
203,31.9586972,-94.1494887
204,31.9585651,-94.1498414
205,31.958433,-94.15023
206,31.9583342,-94.1506096
207,31.958233,-94.1510637
208,31.9581619,-94.1514744
209,31.9581235,-94.151896
210,31.9581051,-94.1523297
211,31.958059,-94.1550865
212,31.9580585,-94.1551183
213,31.9579974,-94.1591341
214,31.9580066,-94.1596582
215,31.9580201,-94.1602347
216,31.9580544,-94.1608023
217,31.9580995,-94.1615394
218,31.9583491,-94.1656149
219,31.9583896,-94.1662758
220,31.9584044,-94.1666467
221,31.958404,-94.1670057
222,31.958393,-94.1673124
223,31.9575985,-94.1778276
224,31.9575298,-94.178777
225,31.9575001,-94.1792626
226,31.9574855,-94.1796117
227,31.9574859,-94.1799215
228,31.9574911,-94.1802009
229,31.957609,-94.183168
230,31.9576278,-94.1838069
231,31.9576232,-94.184369
232,31.9576045,-94.1848087
233,31.9575717,-94.1853255
234,31.9570502,-94.1918261
235,31.9570095,-94.1921956
236,31.9569567,-94.192566
237,31.9569158,-94.1928249
238,31.9568545,-94.1931037
239,31.9567856,-94.193385
240,31.9567126,-94.1936468
241,31.9566251,-94.1939114
242,31.9565476,-94.1941309
243,31.9564385,-94.1944075
244,31.9563458,-94.1946313
245,31.95622,-94.1949072
246,31.954682,-94.1982075
247,31.9545499,-94.1985011
248,31.9544132,-94.1988112
249,31.9543027,-94.1990966
250,31.9542115,-94.1993665
251,31.9541178,-94.1996702
252,31.9535567,-94.201662
253,31.9535376,-94.2017297
254,31.9527655,-94.2045056
255,31.952264,-94.2063519
256,31.9520929,-94.2069742
257,31.9517121,-94.2083622
258,31.9516339,-94.2086815
259,31.9515744,-94.2089687
260,31.951535,-94.2091959
261,31.9515004,-94.2094274
262,31.9514778,-94.2096783
263,31.9514614,-94.2099533
264,31.9514569,-94.2102001
265,31.9514597,-94.2104168
266,31.951531,-94.2130302
267,31.9515468,-94.2136094
268,31.9515626,-94.2141883
269,31.9515641,-94.2145727
270,31.9515584,-94.2149315
271,31.9515514,-94.2150962
272,31.9515372,-94.2152694
273,31.9515013,-94.2155703
274,31.951469,-94.2158186
275,31.9514234,-94.2160697
276,31.95137,-94.2163012
277,31.9511371,-94.2171473
278,31.9508927,-94.2180312
279,31.9505425,-94.2193371
280,31.9504761,-94.2196226
281,31.9504143,-94.2199297
282,31.9503799,-94.2201235
283,31.9503465,-94.2203281
284,31.9503142,-94.2205977
285,31.9502828,-94.2208862
286,31.9502545,-94.221213
287,31.9501321,-94.2233077
288,31.9500724,-94.224334
289,31.9500006,-94.2255556
290,31.9498798,-94.2276553
291,31.9498229,-94.2287995
292,31.9496972,-94.2309783
293,31.9495917,-94.2325677
294,31.949572,-94.2328229
295,31.9495439,-94.2330838
296,31.9495115,-94.2333138
297,31.9494769,-94.2335249
298,31.9494316,-94.2337438
299,31.9493782,-94.2339604
300,31.9493281,-94.2341524
301,31.9492623,-94.2343588
302,31.9491894,-94.2345688
303,31.9491146,-94.2347585
304,31.9490073,-94.235015
305,31.948912,-94.2352261
306,31.9487351,-94.2355668
307,31.9482063,-94.2364992
308,31.947663,-94.2374988
309,31.9472053,-94.2383305
310,31.9470554,-94.2386103
311,31.9462711,-94.2400137
312,31.9460931,-94.2403366
313,31.9450974,-94.242138
314,31.9445757,-94.243083
315,31.9439978,-94.2441359
316,31.9434234,-94.2451651
317,31.9431351,-94.2456937
318,31.9428841,-94.2461459
319,31.9423513,-94.2471034
320,31.9417022,-94.2482749
321,31.9410279,-94.2494901
322,31.9405723,-94.2503075
323,31.9397554,-94.2517851
324,31.9396497,-94.2519826
325,31.9395588,-94.252151
326,31.9394709,-94.2523262
327,31.9393914,-94.252489
328,31.9393188,-94.2526529
329,31.939247,-94.252832
330,31.9391874,-94.2529888
331,31.9391304,-94.253162
332,31.9390771,-94.2533258
333,31.9390233,-94.2535112
334,31.9389682,-94.2537097
335,31.9389248,-94.2539116
336,31.9388858,-94.2541131
337,31.9388455,-94.2543249
338,31.9388137,-94.2545521
339,31.9387904,-94.254778
