,Latitude,Longitude
0,31.6091269,-97.0698548
1,31.6092925,-97.0692803
2,31.6095708,-97.0685348
3,31.610086,-97.067176
4,31.610256,-97.0668
5,31.610372,-97.066535
6,31.610551,-97.0661171
7,31.6113512,-97.0643401
8,31.612961,-97.061159
9,31.613114,-97.060832
10,31.6132765,-97.0604742
11,31.613345,-97.060338
12,31.614693,-97.057453
13,31.6150726,-97.0565815
14,31.6167891,-97.0526409
15,31.618608,-97.048465
16,31.6191371,-97.0472029
17,31.6195279,-97.0462861
18,31.6201832,-97.0447915
19,31.6204242,-97.0442403
20,31.6216106,-97.0414873
21,31.6218699,-97.0408816
22,31.622193,-97.040127
23,31.6228128,-97.0387674
24,31.623744,-97.0366137
25,31.6242461,-97.0354496
26,31.62547,-97.032575
27,31.62584,-97.031731
28,31.626012,-97.03134
29,31.626693,-97.029823
30,31.627169,-97.028749
31,31.6272908,-97.0284596
32,31.6275342,-97.0277451
33,31.6278231,-97.0269134
34,31.628098,-97.0260902
35,31.6284063,-97.0250145
36,31.6286055,-97.0240878
37,31.6287838,-97.0231434
38,31.6288001,-97.0230622
39,31.629002,-97.022058
40,31.6291729,-97.0212249
41,31.6292733,-97.0206485
42,31.6294933,-97.0196784
43,31.6296921,-97.0188736
44,31.6300211,-97.0176697
45,31.6303348,-97.0163729
46,31.6306428,-97.0151684
