,Latitude,Longitude
0,28.6163,-96.6239
1,28.6104,-96.6324
2,28.6097,-96.634
3,28.6094,-96.6356
4,28.6094,-96.6374
5,28.6103,-96.646
6,28.6105,-96.6485
7,28.6104,-96.6487
8,28.6115,-96.6607
9,28.6114,-96.6639
10,28.6125,-96.6717
11,28.6156,-96.7075
12,28.616,-96.7103
13,28.6168,-96.7125
14,28.6234,-96.7228
15,28.6258,-96.7278
16,28.627,-96.7295
17,28.6295,-96.7323
18,28.6306,-96.7339
19,28.6571,-96.7756
20,28.6832,-96.8163
21,28.6846,-96.8194
22,28.6873,-96.8269
23,28.6889,-96.83
24,28.6905,-96.8322
25,28.6921,-96.834
26,28.6972,-96.8387
27,28.6993,-96.8414
28,28.7397,-96.9049
29,28.7534,-96.9263
30,28.7565,-96.9309
31,28.7789,-96.9662
32,28.7798,-96.9674
33,28.7872,-96.9791
34,28.7897,-96.9841
35,28.7929,-96.988
36,28.7973,-96.9948
37,28.7992,-97.0004
38,28.8018,-96.999
39,28.8057,-96.9993
40,28.8054,-97.0031
41,28.8057,-97.0035
42,28.8119,-97.0041
43,28.816,-97.005
44,28.8349,-97.0098
45,28.8446,-97.0127
46,28.8459,-97.0134
47,28.8518,-97.0198
48,28.8518,-97.02
49,28.8568,-97.0252
50,28.8624,-97.0316
51,28.9178,-97.0923
52,28.9186,-97.0934
53,28.9199,-97.0958
54,28.9221,-97.0986
55,28.9637,-97.1377
56,28.9788,-97.1502
57,28.9803,-97.1512
58,28.9818,-97.1518
59,28.9862,-97.1527
60,28.9883,-97.1538
61,28.9902,-97.1553
62,28.9917,-97.1559
63,28.9967,-97.1571
64,29.0066,-97.1585
65,29.0081,-97.1589
66,29.0095,-97.1595
67,29.0121,-97.1615
68,29.0154,-97.1648
69,29.0171,-97.1662
70,29.0186,-97.1671
71,29.0268,-97.1709
72,29.028,-97.1717
73,29.0284,-97.1718
74,29.0344,-97.1763
75,29.0364,-97.1782
76,29.0378,-97.1805
77,29.044,-97.1924
78,29.0457,-97.1951
79,29.0523,-97.2036
80,29.0669,-97.2209
81,29.0686,-97.2232
82,29.0703,-97.2264
83,29.0773,-97.2429
84,29.0782,-97.2442
85,29.0841,-97.2514
86,29.0851,-97.253
87,29.0859,-97.2549
88,29.0864,-97.2566
89,29.0874,-97.2613
90,29.0879,-97.2744
91,29.0894,-97.2787
92,29.0938,-97.2899
93,29.0902,-97.2917
94,29.0895,-97.2923
95,29.0845,-97.2947
96,29.0801,-97.2971
97,29.0789,-97.2981
98,29.0777,-97.2997
99,29.0712,-97.315
100,29.0693,-97.3177
101,29.0638,-97.3244
102,29.0622,-97.3266
103,29.0613,-97.3282
104,29.0607,-97.3304
105,29.0606,-97.3326
106,29.0608,-97.3344
107,29.0617,-97.337
108,29.0622,-97.3379
109,29.067,-97.3437
110,29.0694,-97.3461
111,29.0705,-97.347
112,29.0843,-97.3554
113,29.0856,-97.3567
114,29.0906,-97.3639
115,29.1114,-97.3948
116,29.1165,-97.4021
117,29.1165,-97.4023
118,29.118,-97.4043
119,29.1285,-97.4201
120,29.1344,-97.4266
121,29.137,-97.4292
122,29.137,-97.4294
123,29.1426,-97.4351
124,29.1522,-97.4455
125,29.1537,-97.4465
126,29.1819,-97.457
127,29.1922,-97.4643
128,29.1941,-97.4658
129,29.1947,-97.4668
130,29.1949,-97.468
131,29.1944,-97.4803
132,29.1951,-97.4826
133,29.1969,-97.4849
134,29.1983,-97.4872
135,29.1993,-97.4902
136,29.2014,-97.5061
137,29.2021,-97.5084
138,29.2026,-97.5094
139,29.2044,-97.5116
140,29.2112,-97.5167
141,29.2118,-97.5173
142,29.2131,-97.5191
143,29.2155,-97.5246
144,29.2165,-97.5258
145,29.2181,-97.5272
146,29.221,-97.5313
147,29.225,-97.536
148,29.2511,-97.5657
149,29.2518,-97.5666
150,29.2526,-97.5682
151,29.2592,-97.5958
152,29.266,-97.632
153,29.2669,-97.6346
154,29.269,-97.6392
155,29.2694,-97.6405
156,29.2693,-97.6466
157,29.2758,-97.7092
158,29.277,-97.7211
159,29.277,-97.7224
160,29.2687,-97.7597
161,29.268,-97.7618
162,29.2668,-97.7669
163,29.2655,-97.7731
164,29.2518,-97.8325
165,29.2508,-97.8358
166,29.2492,-97.8425
167,29.2485,-97.8465
168,29.2475,-97.8509
169,29.2271,-97.9395
170,29.2268,-97.9418
171,29.2265,-97.96
172,29.2269,-97.9616
173,29.2278,-97.9633
174,29.2288,-97.9644
175,29.2316,-97.9666
176,29.2322,-97.9672
177,29.2332,-97.9687
178,29.2337,-97.9703
179,29.2346,-97.9747
180,29.2377,-97.9819
181,29.2449,-98.0009
182,29.2478,-98.0192
183,29.2478,-98.021
184,29.2465,-98.0242
185,29.2462,-98.0256
186,29.2462,-98.0267
187,29.2469,-98.0287
188,29.2477,-98.0297
189,29.2681,-98.0501
190,29.2703,-98.0517
191,29.2705,-98.0517
192,29.2717,-98.0527
193,29.2742,-98.0558
194,29.277,-98.0607
195,29.2787,-98.0631
196,29.2807,-98.0651
197,29.2901,-98.0736
198,29.2933,-98.0758
199,29.294,-98.0761
200,29.2995,-98.0795
201,29.3204,-98.0912
202,29.3329,-98.0984
203,29.3388,-98.1016
204,29.3508,-98.1085
205,29.3522,-98.1097
206,29.3533,-98.111
207,29.3538,-98.1119
208,29.3565,-98.12
209,29.3569,-98.1222
210,29.3575,-98.1342
211,29.3584,-98.16
212,29.3578,-98.2026
213,29.3663,-98.2416
214,29.3663,-98.2444
215,29.3661,-98.246
216,29.3663,-98.2486
217,29.3691,-98.2616
218,29.3694,-98.2625
219,29.3711,-98.2657
220,29.3718,-98.2674
221,29.373,-98.2724
222,29.373,-98.2737
