,Latitude,Longitude
0,45.02537,-110.70073
1,45.02568,-110.70139
2,45.02558,-110.70154
3,45.02574,-110.70202
4,45.02635,-110.70306
5,45.02671,-110.70337
6,45.02884,-110.7074
7,45.0295,-110.70731
8,45.0295,-110.70584
9,45.02974,-110.70548
10,45.03259,-110.70548
11,45.03332,-110.70582
12,45.03353,-110.70611
13,45.03801,-110.72205
14,45.03882,-110.72354
15,45.04375,-110.73004
16,45.0447,-110.73157
17,45.04948,-110.74459
18,45.05198,-110.75005
19,45.05442,-110.75408
20,45.05719,-110.75767
21,45.06523,-110.76589
22,45.06642,-110.76682
23,45.0677,-110.76742
24,45.0741,-110.76891
25,45.07562,-110.76952
26,45.07676,-110.77037
27,45.08089,-110.77488
28,45.08233,-110.77585
29,45.08346,-110.77617
30,45.08483,-110.7761
31,45.08812,-110.77476
32,45.08918,-110.77475
33,45.09035,-110.77537
34,45.09249,-110.77819
35,45.09393,-110.7792
36,45.09534,-110.77953
37,45.0984,-110.77931
38,45.09989,-110.77982
39,45.10937,-110.78747
40,45.11217,-110.78956
41,45.11628,-110.79216
42,45.12192,-110.79522
43,45.12398,-110.79663
44,45.14531,-110.81504
45,45.15322,-110.82023
46,45.15502,-110.82191
47,45.15766,-110.8254
48,45.15944,-110.82933
49,45.16223,-110.83307
50,45.16532,-110.83855
51,45.16588,-110.83989
52,45.16635,-110.84203
53,45.16687,-110.84922
54,45.16729,-110.8509
55,45.16958,-110.85782
56,45.17078,-110.86837
57,45.17134,-110.87058
58,45.17182,-110.87351
59,45.17341,-110.8766
60,45.175,-110.87882
61,45.17651,-110.88143
62,45.17913,-110.88378
63,45.18249,-110.88839
64,45.18498,-110.89135
65,45.18604,-110.89299
66,45.18754,-110.89594
67,45.18839,-110.89708
68,45.1914,-110.89866
69,45.19374,-110.89959
70,45.19678,-110.90014
71,45.19788,-110.9001
72,45.19913,-110.89981
73,45.20063,-110.8991
74,45.20195,-110.89815
75,45.22223,-110.88176
76,45.23931,-110.87071
77,45.24163,-110.86989
78,45.2558,-110.86789
79,45.25694,-110.86761
80,45.27243,-110.8594
81,45.27426,-110.85823
82,45.2757,-110.85701
83,45.27712,-110.85547
84,45.28414,-110.84631
85,45.29644,-110.83447
86,45.3122,-110.81698
87,45.31308,-110.81581
88,45.3138,-110.81446
89,45.32856,-110.78042
90,45.32981,-110.77782
91,45.33247,-110.77371
92,45.34164,-110.76335
93,45.34232,-110.76215
94,45.34354,-110.75869
95,45.34448,-110.75716
96,45.38867,-110.71418
97,45.40548,-110.70179
98,45.40767,-110.69969
99,45.40956,-110.69722
100,45.41577,-110.68752
101,45.4168,-110.68548
102,45.4178,-110.68286
103,45.41843,-110.6806
104,45.41889,-110.67818
105,45.41972,-110.66733
106,45.42004,-110.6655
107,45.42604,-110.64745
108,45.4274,-110.6446
109,45.42871,-110.64262
110,45.43033,-110.64068
111,45.43276,-110.6386
112,45.43427,-110.63768
113,45.45758,-110.62708
114,45.45978,-110.62664
115,45.47631,-110.62539
116,45.49155,-110.62097
117,45.5702,-110.58939
118,45.57297,-110.58789
119,45.5758,-110.5856
120,45.57758,-110.5837
121,45.58303,-110.57668
122,45.58426,-110.57544
123,45.58559,-110.57448
124,45.58837,-110.57296
125,45.59054,-110.57219
126,45.59256,-110.57124
127,45.59398,-110.571
128,45.59539,-110.57116
129,45.61493,-110.57856
130,45.6173,-110.57904
131,45.61904,-110.57904
132,45.65245,-110.57181
133,45.65466,-110.57082
134,45.65791,-110.56833
135,45.65931,-110.56686
136,45.67232,-110.54282
137,45.67329,-110.54079
138,45.6881,-110.50332
139,45.6883,-110.50185
140,45.68794,-110.49895
141,45.68805,-110.49797
142,45.68854,-110.49719
143,45.68955,-110.49671
144,45.6901,-110.49618
145,45.6915,-110.49312
146,45.70467,-110.45993
147,45.70624,-110.45481
148,45.70898,-110.45706
149,45.71016,-110.45827
150,45.71134,-110.45981
151,45.71395,-110.46386
152,45.71584,-110.46589
153,45.74011,-110.48355
154,45.74832,-110.49139
155,45.7508,-110.49325
156,45.79285,-110.51107
157,45.79454,-110.51204
158,45.79526,-110.51273
159,45.79621,-110.51403
160,45.82032,-110.55271
161,45.82227,-110.55544
162,45.82356,-110.55681
163,45.8569,-110.58706
164,45.8649,-110.59575
165,45.86696,-110.59751
166,45.87422,-110.60235
167,45.87585,-110.60318
168,45.87751,-110.60374
169,45.8798,-110.60414
170,45.88761,-110.60419
171,45.89851,-110.60572
172,45.90003,-110.60612
173,45.90127,-110.60689
174,45.90239,-110.60806
175,45.90976,-110.61937
176,45.91062,-110.6203
177,45.91146,-110.62087
178,45.91255,-110.62123
179,45.91515,-110.62135
180,45.91598,-110.62153
181,45.9379,-110.63031
182,45.99173,-110.65985
183,45.9929,-110.66024
184,45.99924,-110.66156
185,46.00308,-110.66297
186,46.00491,-110.66304
187,46.00819,-110.66225
188,46.0093,-110.66238
189,46.01051,-110.66291
190,46.09719,-110.7252
191,46.09948,-110.7266
192,46.10145,-110.72757
193,46.10419,-110.72858
194,46.10824,-110.72942
195,46.11048,-110.72955
