,Latitude,Longitude
0,41.497467,-111.95561
1,41.497615,-111.955161
2,41.497651,-111.955053
3,41.497748,-111.954719
4,41.497781,-111.954609
5,41.497793,-111.954565
6,41.497818,-111.954485
7,41.497831,-111.954434
8,41.497844,-111.954391
9,41.497863,-111.954321
10,41.497922,-111.954113
11,41.497942,-111.954044
12,41.498088,-111.953495
13,41.498131,-111.953335
14,41.498509,-111.951846
15,41.498574,-111.951594
16,41.498649,-111.951296
17,41.498701,-111.951086
18,41.498719,-111.951019
19,41.498828,-111.950604
20,41.498866,-111.950459
21,41.498928,-111.950253
22,41.499039,-111.949886
23,41.499242,-111.949341
24,41.499478,-111.948817
25,41.499549,-111.948686
26,41.499752,-111.94832
27,41.500065,-111.947846
28,41.500423,-111.947392
29,41.500828,-111.946977
30,41.501277,-111.946601
31,41.501765,-111.946276
32,41.502288,-111.946023
33,41.502831,-111.945837
34,41.503385,-111.945727
35,41.503412,-111.945724
36,41.503809,-111.945689
37,41.503952,-111.945676
38,41.504644,-111.945627
39,41.505096,-111.945595
40,41.50554,-111.945566
41,41.506761,-111.945487
42,41.506873,-111.945477
43,41.507317,-111.945441
44,41.507487,-111.945418
45,41.50781,-111.945375
46,41.507998,-111.945337
47,41.508167,-111.945303
48,41.508329,-111.94527
49,41.508853,-111.945127
50,41.509373,-111.944946
51,41.509886,-111.94473
52,41.510389,-111.944485
53,41.510809,-111.944241
54,41.510883,-111.944199
55,41.51137,-111.943882
56,41.51141,-111.943854
57,41.511477,-111.943806
58,41.511681,-111.943664
59,41.511749,-111.943617
60,41.512338,-111.943204
61,41.513274,-111.942548
62,41.514099,-111.941957
63,41.514249,-111.941851
64,41.514688,-111.941544
65,41.515155,-111.941217
66,41.515541,-111.940972
67,41.515621,-111.940922
68,41.516099,-111.940671
69,41.516184,-111.940639
70,41.516588,-111.940491
71,41.517086,-111.940403
72,41.517584,-111.940406
73,41.51807,-111.940495
74,41.518538,-111.940664
75,41.518972,-111.940902
76,41.519188,-111.941072
77,41.51927,-111.941136
78,41.519366,-111.941212
79,41.51962,-111.941459
80,41.519728,-111.941564
81,41.519939,-111.941822
82,41.520059,-111.941969
83,41.520324,-111.94233
84,41.520382,-111.942409
85,41.520527,-111.942624
86,41.520791,-111.943013
87,41.521072,-111.943428
88,41.521511,-111.944075
89,41.521859,-111.944577
90,41.522185,-111.945022
91,41.522221,-111.945072
92,41.522555,-111.945487
93,41.522935,-111.945888
94,41.523333,-111.946257
95,41.524164,-111.946962
96,41.524591,-111.947336
97,41.524695,-111.947433
98,41.52502,-111.947735
99,41.525529,-111.948245
100,41.525651,-111.948372
101,41.525875,-111.948607
102,41.526015,-111.948759
103,41.526135,-111.94889
104,41.526156,-111.948913
105,41.526221,-111.948984
106,41.526243,-111.949008
107,41.526297,-111.949068
108,41.526422,-111.949211
109,41.526712,-111.949542
110,41.526951,-111.949833
111,41.527112,-111.950029
112,41.527123,-111.950044
113,41.527201,-111.950145
114,41.527438,-111.950449
115,41.527517,-111.950551
116,41.527646,-111.950725
117,41.527881,-111.951041
118,41.52803,-111.951251
119,41.528157,-111.951428
120,41.528202,-111.951491
121,41.528254,-111.951563
122,41.528338,-111.951685
123,41.528383,-111.95175
124,41.528977,-111.952615
125,41.529006,-111.952658
126,41.529786,-111.95381
127,41.53086,-111.955396
128,41.531139,-111.955807
129,41.531481,-111.956307
130,41.531502,-111.956338
131,41.531557,-111.956414
132,41.531788,-111.956733
133,41.531865,-111.95684
134,41.532279,-111.957304
135,41.532332,-111.95735
136,41.532711,-111.957681
137,41.533166,-111.957964
138,41.533635,-111.958153
139,41.534107,-111.958266
140,41.534155,-111.958269
141,41.534581,-111.958302
142,41.534847,-111.958294
143,41.53506,-111.958288
144,41.535486,-111.95826
145,41.536032,-111.958226
146,41.537401,-111.958123
147,41.537574,-111.958111
148,41.538038,-111.958056
149,41.538115,-111.958047
150,41.538653,-111.957954
151,41.539189,-111.95784
152,41.539207,-111.957835
153,41.539718,-111.957702
154,41.540242,-111.957534
155,41.540599,-111.957409
156,41.540761,-111.957353
157,41.54232,-111.956775
158,41.54438,-111.956005
159,41.544891,-111.955808
160,41.545395,-111.955595
161,41.545897,-111.955359
162,41.546392,-111.955098
163,41.546879,-111.954821
164,41.547354,-111.954523
165,41.547831,-111.954237
166,41.547851,-111.954227
167,41.548322,-111.954007
168,41.548825,-111.953831
169,41.549353,-111.953722
170,41.549876,-111.953687
171,41.550407,-111.953719
172,41.551755,-111.954094
173,41.552483,-111.954542
174,41.553533,-111.955409
175,41.553748,-111.955599
176,41.55378,-111.955625
177,41.55431,-111.956077
178,41.554528,-111.956263
179,41.555182,-111.956822
180,41.5554,-111.957009
181,41.556253,-111.957737
182,41.557183,-111.958532
183,41.557561,-111.958856
184,41.558014,-111.959233
185,41.558916,-111.960002
186,41.559765,-111.960724
187,41.559818,-111.960769
188,41.560708,-111.961532
189,41.561288,-111.962008
190,41.561325,-111.962041
191,41.561364,-111.96207
192,41.561603,-111.962267
193,41.562057,-111.962611
194,41.562512,-111.962933
195,41.562614,-111.962999
196,41.564577,-111.964284
197,41.567054,-111.965904
198,41.567312,-111.966073
199,41.567513,-111.966205
200,41.568895,-111.967111
201,41.571238,-111.968649
202,41.573275,-111.969982
203,41.575458,-111.971409
204,41.575516,-111.971445
205,41.575936,-111.971704
206,41.576779,-111.972199
207,41.577417,-111.972548
208,41.577929,-111.97281
209,41.578375,-111.973027
210,41.578954,-111.973298
211,41.57942,-111.9735
212,41.579637,-111.973586
213,41.579673,-111.9736
214,41.580509,-111.973926
215,41.581025,-111.974112
216,41.581539,-111.974287
217,41.582054,-111.974451
218,41.583707,-111.974956
219,41.584615,-111.975234
220,41.585065,-111.975373
221,41.585329,-111.975454
222,41.586121,-111.975698
223,41.586385,-111.97578
224,41.588114,-111.976314
225,41.588915,-111.97656
226,41.59508,-111.978452
227,41.59651,-111.978888
