,Latitude,Longitude
0,38.57012,-75.56277
1,38.57214,-75.56064
2,38.5744,-75.55823
3,38.57626,-75.55625
4,38.57825,-75.55413
5,38.58017,-75.55207
6,38.58219,-75.54992
7,38.5842,-75.54778
8,38.58632,-75.5455
9,38.58727,-75.54446
10,38.58812,-75.54334
11,38.58855,-75.54262
12,38.58942,-75.54105
13,38.59101,-75.53812
14,38.59249,-75.53544
15,38.59403,-75.53264
16,38.59581,-75.52938
17,38.59773,-75.52589
18,38.59864,-75.52422
19,38.6002,-75.5214
20,38.60198,-75.51815
21,38.60387,-75.5147
22,38.60544,-75.51182
23,38.60716,-75.50869
24,38.60923,-75.50489
25,38.61103,-75.50159
26,38.61288,-75.49823
27,38.61457,-75.49513
28,38.61627,-75.49201
29,38.61817,-75.48853
30,38.62009,-75.485
31,38.62164,-75.48217
32,38.62341,-75.47894
33,38.62519,-75.47565
34,38.62712,-75.47213
35,38.62885,-75.46896
36,38.63074,-75.46549
37,38.63275,-75.4618
38,38.63454,-75.45851
39,38.63633,-75.45521
40,38.63837,-75.45147
41,38.63952,-75.44934
42,38.64067,-75.44702
43,38.64232,-75.44367
44,38.64364,-75.44096
45,38.6444,-75.43943
46,38.64479,-75.43876
47,38.64535,-75.43795
48,38.64667,-75.43644
49,38.64876,-75.4341
50,38.6499,-75.43281
51,38.65162,-75.43088
52,38.65326,-75.42904
53,38.65525,-75.42682
54,38.65717,-75.42466
55,38.65905,-75.42254
56,38.66069,-75.42069
57,38.66271,-75.41844
58,38.66463,-75.41628
59,38.66679,-75.41387
60,38.66878,-75.41163
61,38.67071,-75.40945
62,38.67289,-75.40702
63,38.67418,-75.40554
64,38.67611,-75.40316
65,38.67808,-75.40073
66,38.67972,-75.39869
67,38.68133,-75.39666
68,38.68299,-75.39464
69,38.68467,-75.39256
70,38.68644,-75.39037
71,38.68835,-75.38798
72,38.68974,-75.38622
73,38.69124,-75.38437
74,38.69315,-75.38196
75,38.69451,-75.38022
76,38.69543,-75.37901
77,38.69588,-75.37824
78,38.69619,-75.37755
79,38.69647,-75.37678
80,38.69744,-75.37355
81,38.69857,-75.36976
82,38.69882,-75.36905
83,38.69902,-75.36856
84,38.69937,-75.36793
85,38.70008,-75.36693
86,38.70034,-75.36644
87,38.70055,-75.36594
88,38.7012,-75.3635
89,38.70205,-75.36011
90,38.70297,-75.35646
91,38.70416,-75.35172
92,38.70517,-75.34772
93,38.70621,-75.34365
94,38.70659,-75.34235
95,38.70741,-75.34
96,38.7077,-75.33901
97,38.7086,-75.33547
98,38.70952,-75.3318
99,38.71057,-75.32741
100,38.71096,-75.32583
101,38.7113,-75.32467
102,38.71192,-75.32293
103,38.71338,-75.31892
104,38.71446,-75.31594
105,38.71572,-75.31285
106,38.71751,-75.30851
107,38.71919,-75.30444
108,38.72026,-75.30185
109,38.7206,-75.30093
110,38.72109,-75.29931
111,38.72212,-75.29579
112,38.72337,-75.2915
113,38.72426,-75.28841
114,38.72448,-75.28749
115,38.72527,-75.28354
116,38.72605,-75.27959
117,38.72698,-75.27499
118,38.72774,-75.27115
119,38.72866,-75.26649
120,38.7295,-75.26224
121,38.73036,-75.25789
122,38.73131,-75.25319
123,38.73215,-75.24889
124,38.73299,-75.2447
125,38.73381,-75.24062
126,38.73436,-75.23776
127,38.73493,-75.23399
128,38.73552,-75.22998
129,38.7361,-75.22605
130,38.73676,-75.22165
131,38.7374,-75.21736
132,38.73783,-75.21459
133,38.73852,-75.21071
134,38.7389,-75.20834
135,38.73922,-75.2053
136,38.73965,-75.20093
137,38.74004,-75.19701
138,38.74014,-75.19638
139,38.74031,-75.19561
140,38.7405,-75.19499
141,38.74135,-75.19275
142,38.74258,-75.1895
143,38.74415,-75.18533
144,38.74552,-75.18167
145,38.74686,-75.17787
146,38.74779,-75.17505
147,38.74815,-75.17418
148,38.74849,-75.17376
149,38.74856,-75.16359
150,38.74842,-75.16197
151,38.7482,-75.16055
152,38.74787,-75.15926
153,38.74759,-75.15839
154,38.74716,-75.15733
155,38.74669,-75.15639
156,38.74627,-75.15566
157,38.745,-75.15375
158,38.74633,-75.15229
159,38.74649,-75.15196
160,38.74658,-75.15169
161,38.747,-75.15176
162,38.74738,-75.15173
163,38.74783,-75.1516
164,38.7496,-75.151
165,38.75154,-75.15033
166,38.7522,-75.15005
167,38.75284,-75.14974
168,38.75933,-75.14647
169,38.7617,-75.14527
170,38.76267,-75.14471
171,38.76357,-75.14416
172,38.7642,-75.14357
173,38.76479,-75.14286
174,38.7654,-75.14211
175,38.77233,-75.13382
176,38.77742,-75.12773
177,38.77774,-75.1274
178,38.7781,-75.12711
179,38.77844,-75.1269
180,38.77882,-75.12674
181,38.77924,-75.12662
182,38.77964,-75.12655
183,38.78023,-75.1265
184,38.78016,-75.125
185,38.78006,-75.12289
186,38.77999,-75.1214
187,38.78007,-75.11997
188,38.78069,-75.11999
189,38.78101,-75.11988
190,38.7821,-75.11989
