,Latitude,Longitude
0,38.96925,-74.95888
1,38.97197,-74.95846
2,38.97249,-74.95836
3,38.97272,-74.95828
4,38.97291,-74.95817
5,38.97312,-74.95797
6,38.97328,-74.95777
7,38.97346,-74.95741
8,38.97356,-74.95706
9,38.97362,-74.95661
10,38.97362,-74.95606
11,38.97343,-74.95431
12,38.97333,-74.9531
13,38.97326,-74.95139
14,38.97322,-74.94713
15,38.97323,-74.94483
16,38.97321,-74.94315
17,38.97316,-74.94061
18,38.9732,-74.93999
19,38.97329,-74.93939
20,38.97343,-74.93868
21,38.97372,-74.93738
22,38.97382,-74.93677
23,38.97388,-74.93608
24,38.9739,-74.93554
25,38.97387,-74.93494
26,38.97381,-74.93433
27,38.97373,-74.93376
28,38.97365,-74.93326
29,38.97353,-74.93272
30,38.97339,-74.93213
31,38.97323,-74.93156
32,38.97305,-74.93104
33,38.97282,-74.9304
34,38.97261,-74.92992
35,38.97236,-74.92934
36,38.97067,-74.92577
37,38.96649,-74.91605
38,38.96639,-74.91578
39,38.96633,-74.91555
40,38.96631,-74.9153
41,38.96633,-74.91505
42,38.96638,-74.91482
43,38.96649,-74.91454
44,38.96678,-74.91474
45,38.96702,-74.91488
46,38.96728,-74.91498
47,38.96749,-74.91505
48,38.9677,-74.91508
49,38.96798,-74.91509
50,38.96816,-74.91509
51,38.96838,-74.91505
52,38.96862,-74.91498
53,38.96883,-74.9149
54,38.96907,-74.91477
55,38.96929,-74.91462
56,38.98083,-74.90639
57,38.98121,-74.9061
58,38.98145,-74.90588
59,38.98164,-74.90566
60,38.98182,-74.90538
61,38.98199,-74.90508
62,38.98212,-74.90479
63,38.98235,-74.90427
64,38.98251,-74.90394
65,38.98272,-74.90363
66,38.98297,-74.90333
67,38.98323,-74.9031
68,38.98351,-74.9029
69,38.98395,-74.9026
70,38.98428,-74.90242
71,38.98453,-74.90232
72,38.9848,-74.90225
73,38.98631,-74.90211
74,38.98669,-74.90202
75,38.98701,-74.90189
76,38.98733,-74.90169
77,38.98835,-74.90096
78,38.98922,-74.90041
79,39.00095,-74.89203
80,39.00155,-74.8916
81,39.00217,-74.89109
82,39.00267,-74.89063
83,39.00308,-74.89018
84,39.0035,-74.88967
85,39.00387,-74.88912
86,39.0064,-74.88529
87,39.00717,-74.88417
88,39.01,-74.87995
89,39.01028,-74.8796
90,39.01058,-74.87929
91,39.01091,-74.879
92,39.01313,-74.87732
93,39.01416,-74.87656
94,39.01448,-74.87629
95,39.01476,-74.87598
96,39.01689,-74.87371
97,39.01745,-74.87311
98,39.01794,-74.87265
99,39.01843,-74.87222
100,39.01892,-74.87183
101,39.02253,-74.86906
102,39.02634,-74.86621
103,39.02665,-74.86593
104,39.02698,-74.86557
105,39.02952,-74.86271
106,39.02976,-74.86247
107,39.03003,-74.86226
108,39.03112,-74.86153
109,39.03895,-74.8567
110,39.03925,-74.85654
111,39.04193,-74.85538
112,39.04224,-74.85523
113,39.04251,-74.85504
114,39.04276,-74.85485
115,39.04422,-74.85364
116,39.04448,-74.85336
117,39.04468,-74.8531
118,39.0495,-74.84621
119,39.04987,-74.84573
120,39.05236,-74.84286
121,39.05264,-74.84258
122,39.05291,-74.84236
123,39.05319,-74.84219
124,39.05528,-74.84098
125,39.05552,-74.84082
126,39.05578,-74.84059
127,39.05946,-74.83708
128,39.05998,-74.83665
129,39.06047,-74.83629
130,39.06089,-74.83603
131,39.06308,-74.83485
132,39.06353,-74.83456
133,39.06392,-74.83427
134,39.06742,-74.83157
135,39.06772,-74.83138
136,39.06806,-74.83122
137,39.07101,-74.82999
138,39.07144,-74.82977
139,39.07495,-74.82773
140,39.07602,-74.82713
141,39.08166,-74.82409
142,39.0823,-74.82379
143,39.08279,-74.8235
144,39.08331,-74.82312
145,39.08375,-74.82276
146,39.08421,-74.82234
147,39.08473,-74.82179
148,39.08698,-74.81916
149,39.09257,-74.81314
150,39.09282,-74.81291
151,39.09306,-74.81274
152,39.09327,-74.81262
153,39.09353,-74.81251
154,39.09377,-74.81244
155,39.09402,-74.8124
156,39.0943,-74.81239
157,39.09454,-74.81241
158,39.09485,-74.81249
159,39.09632,-74.81292
160,39.09667,-74.81297
161,39.09696,-74.81297
162,39.09725,-74.81294
163,39.09765,-74.81283
164,39.0989,-74.81242
165,39.09927,-74.81227
166,39.09956,-74.81209
167,39.09985,-74.81185
168,39.10099,-74.81077
169,39.10134,-74.81036
170,39.10157,-74.81002
171,39.10184,-74.80953
172,39.10214,-74.80882
173,39.10352,-74.80542
174,39.10395,-74.80442
175,39.10444,-74.80338
176,39.10478,-74.80268
177,39.10499,-74.80231
178,39.10527,-74.80185
179,39.10624,-74.80044
180,39.1065,-74.8001
181,39.10678,-74.79978
182,39.10772,-74.79887
183,39.10819,-74.79843
184,39.10948,-74.79734
185,39.1098,-74.79701
186,39.11002,-74.79684
187,39.11036,-74.79666
188,39.11068,-74.79653
189,39.11099,-74.79643
190,39.1113,-74.79636
191,39.11192,-74.79625
192,39.11252,-74.79617
193,39.11344,-74.79607
194,39.11384,-74.79601
195,39.11418,-74.79592
196,39.1146,-74.79574
197,39.11563,-74.79527
198,39.11603,-74.79505
199,39.12141,-74.79188
200,39.12174,-74.79166
201,39.12203,-74.79139
202,39.12237,-74.791
203,39.12316,-74.79004
204,39.12351,-74.78954
205,39.12395,-74.78886
206,39.12733,-74.78337
207,39.12765,-74.78292
208,39.13222,-74.77681
209,39.13252,-74.77647
210,39.13284,-74.77615
211,39.13323,-74.77582
212,39.13474,-74.77454
213,39.13509,-74.77429
214,39.13644,-74.7734
215,39.13679,-74.77314
216,39.13711,-74.77285
217,39.13741,-74.77252
218,39.13769,-74.77217
219,39.13801,-74.7717
220,39.13945,-74.76948
221,39.14008,-74.76859
222,39.14067,-74.76778
223,39.14132,-74.76691
224,39.14159,-74.7666
225,39.14191,-74.76627
