,Latitude,Longitude
0,42.65424,-73.75003
1,42.65355,-73.75017
2,42.65325,-73.74924
3,42.65295,-73.74813
4,42.65282,-73.74785
5,42.65266,-73.74769
6,42.65245,-73.74757
7,42.65219,-73.74757
8,42.65197,-73.74767
9,42.65101,-73.74824
10,42.65038,-73.74852
11,42.64912,-73.74898
12,42.64869,-73.74908
13,42.64737,-73.74914
14,42.64685,-73.74922
15,42.64631,-73.74939
16,42.64555,-73.74971
17,42.64522,-73.75001
18,42.64505,-73.75031
19,42.64484,-73.7515
20,42.64458,-73.75193
21,42.64432,-73.7521
22,42.64399,-73.75218
23,42.6437,-73.75215
24,42.64345,-73.75198
25,42.64323,-73.75167
26,42.64307,-73.75125
27,42.64304,-73.75076
28,42.64315,-73.75029
29,42.64338,-73.74957
30,42.64341,-73.74927
31,42.64341,-73.7489
32,42.64329,-73.7484
33,42.64272,-73.74651
34,42.6425,-73.74596
35,42.64225,-73.74546
36,42.64201,-73.74523
37,42.64181,-73.74516
38,42.64158,-73.74518
39,42.64132,-73.74531
40,42.64109,-73.74562
41,42.64023,-73.74739
42,42.64001,-73.74775
43,42.63981,-73.74798
44,42.63959,-73.74816
