,Latitude,Longitude
0,30.3608236,-103.6507435
1,30.3608214,-103.6509382
2,30.3607775,-103.6511526
3,30.3607651,-103.6513289
4,30.3607826,-103.6515077
5,30.3608228,-103.6516856
6,30.3608901,-103.6518593
7,30.3609852,-103.6520727
8,30.3610591,-103.6522565
9,30.3611029,-103.6524133
10,30.3611366,-103.6526556
11,30.3611344,-103.652876
12,30.3610927,-103.6530827
13,30.3608023,-103.6540692
14,30.3604994,-103.6550732
15,30.3601949,-103.6560824
16,30.3598941,-103.6570777
17,30.3596966,-103.6577318
18,30.3594082,-103.6586869
19,30.3591022,-103.6597004
20,30.3588048,-103.6606853
21,30.3584957,-103.6617087
22,30.3582039,-103.6627058
23,30.3579113,-103.6637045
24,30.3576186,-103.6647037
25,30.3574235,-103.6653697
26,30.3573373,-103.6656744
27,30.3573213,-103.6657308
28,30.3570224,-103.6667146
29,30.3567162,-103.6677069
30,30.356422,-103.6686941
31,30.3561197,-103.6697027
32,30.3560326,-103.6699911
33,30.3558168,-103.6707056
34,30.3555249,-103.6716989
35,30.3551282,-103.6729878
36,30.3546105,-103.674756
37,30.3545707,-103.6749435
38,30.3545463,-103.6750785
39,30.3545239,-103.6752178
40,30.3545096,-103.6753503
41,30.3544647,-103.6756419
