,Latitude,Longitude
0,30.0353452,-94.4249243
1,30.035241,-94.4256811
2,30.0350891,-94.4268319
3,30.035077,-94.426955
4,30.034917,-94.428154
5,30.034248,-94.433162
6,30.0342279,-94.4333092
7,30.034219,-94.433374
8,30.033566,-94.438086
9,30.0335481,-94.438213
10,30.033529,-94.438332
11,30.0329629,-94.4424026
12,30.032741,-94.443967
13,30.032168,-94.4492338
14,30.0320658,-94.4500385
15,30.0316932,-94.4527325
16,30.0311555,-94.4565616
17,30.0309697,-94.45801
18,30.0306487,-94.4598028
19,30.0303466,-94.4620127
20,30.0302029,-94.4630644
21,30.0291705,-94.4705175
22,30.0289842,-94.471862
23,30.0288207,-94.4727976
24,30.028412,-94.4747202
25,30.0278101,-94.4791577
26,30.027662,-94.4802433
27,30.02706,-94.484516
28,30.0263877,-94.4893412
29,30.0257591,-94.4940579
30,30.0252864,-94.4976156
31,30.0248674,-94.5007956
32,30.0241763,-94.5054218
33,30.0238939,-94.5071728
34,30.0235,-94.5091469
35,30.0234171,-94.5096903
36,30.0233432,-94.510656
37,30.0232375,-94.5127369
38,30.023197,-94.5133122
39,30.0231582,-94.5137217
40,30.0224935,-94.5184854
41,30.0223131,-94.5197612
42,30.022036,-94.5217211
43,30.021657,-94.5237209
44,30.0210179,-94.5283816
45,30.0208544,-94.5299008
46,30.0207494,-94.5315627
47,30.0206983,-94.5334112
48,30.0207132,-94.5344807
49,30.0207489,-94.5354421
50,30.0208759,-94.5369568
51,30.021003,-94.5382263
52,30.0213523,-94.5406296
53,30.0219766,-94.5445091
54,30.0224014,-94.5470456
55,30.0227123,-94.5484917
56,30.0235973,-94.5537779
57,30.0241886,-94.5575436
58,30.0242265,-94.5577852
59,30.0249696,-94.562488
60,30.0250205,-94.5628125
61,30.0261273,-94.5697362
62,30.0262224,-94.5703379
63,30.0262752,-94.570838
64,30.0263209,-94.571708
65,30.0263104,-94.5725414
66,30.0261659,-94.5740987
67,30.0258024,-94.5776536
68,30.0257463,-94.578611
69,30.0257257,-94.5794361
70,30.0257368,-94.5801632
71,30.0257591,-94.5809185
72,30.0258025,-94.5814515
73,30.0258363,-94.5817642
74,30.0258706,-94.5820343
75,30.0259523,-94.5825493
76,30.0260974,-94.5833774
77,30.0262706,-94.584287
78,30.0263928,-94.5851018
