,Latitude,Longitude
0,28.04148,-81.99006
1,28.04321,-81.97913
2,28.04332,-81.97808
3,28.04337,-81.97706
4,28.04341,-81.97045
5,28.04225,-81.96961
6,28.04253,-81.9689
7,28.04265,-81.96845
8,28.04404,-81.96123
9,28.04411,-81.96063
10,28.04415,-81.95414
11,28.04505,-81.95415
12,28.04506,-81.95327
13,28.0451,-81.95297
14,28.04539,-81.95219
15,28.04552,-81.95175
16,28.04562,-81.95126
17,28.04567,-81.95078
18,28.04572,-81.94939
19,28.04569,-81.94925
20,28.04563,-81.94914
21,28.04553,-81.94906
22,28.04543,-81.94905
23,28.04416,-81.94903
24,28.04419,-81.93919
25,28.04894,-81.93921
26,28.04919,-81.93913
27,28.04943,-81.93896
28,28.04958,-81.93876
29,28.04969,-81.93849
30,28.04972,-81.93824
31,28.04972,-81.93789
32,28.04966,-81.9365
33,28.04951,-81.93456
34,28.04933,-81.93125
35,28.04897,-81.92644
36,28.049,-81.92618
37,28.04907,-81.92597
38,28.04919,-81.9258
39,28.04931,-81.92567
