,Latitude,Longitude
0,27.77758,-82.63853
1,27.7994,-82.63856
2,27.82849,-82.63866
3,27.86464,-82.63882
4,27.86469,-82.63593
5,27.8651,-82.63394
6,27.87687,-82.59208
7,27.87848,-82.58539
8,27.87922,-82.58266
9,27.89078,-82.54117
10,27.89143,-82.5394
11,27.89201,-82.53772
12,27.89287,-82.535
13,27.89332,-82.53292
14,27.89343,-82.53121
15,27.89345,-82.52661
16,27.89337,-82.52513
17,27.89334,-82.52043
18,27.89343,-82.51935
19,27.89367,-82.51771
20,27.89376,-82.51632
21,27.89371,-82.50634
22,27.93388,-82.50579
23,27.95512,-82.50563
24,27.96289,-82.50554
25,27.99604,-82.50524
26,27.99606,-82.49718
27,27.99609,-82.49618
28,27.9962,-82.49509
29,27.99623,-82.49412
30,27.99619,-82.48442
31,27.99613,-82.48358
32,27.99602,-82.48256
33,27.99595,-82.47621
34,27.99599,-82.47095
35,27.99615,-82.468
36,27.99618,-82.46688
37,27.99616,-82.45196
38,27.9961,-82.45133
39,27.99608,-82.45063
40,27.99609,-82.4019
41,27.9961,-82.39766
42,27.99614,-82.39604
43,27.99621,-82.39454
44,27.99624,-82.36957
45,27.9961,-82.36768
46,27.99581,-82.36597
47,27.99603,-82.36413
48,27.99628,-82.36244
49,27.99624,-82.36057
50,27.9956,-82.35548
51,27.99556,-82.3532
52,27.99567,-82.35071
53,27.99569,-82.34833
54,27.99556,-82.34746
55,27.99523,-82.34605
56,27.99504,-82.34476
57,27.99503,-82.34369
58,27.99508,-82.34174
59,27.99509,-82.33884
60,27.99513,-82.33785
61,27.99526,-82.33674
62,27.99551,-82.33521
63,28.00061,-82.30872
64,28.00131,-82.30529
65,28.00184,-82.30233
66,28.00344,-82.29423
67,28.00498,-82.28598
68,28.0053,-82.28446
69,28.00798,-82.27058
70,28.00822,-82.26954
71,28.00853,-82.26859
72,28.0109,-82.26314
73,28.01204,-82.26049
74,28.01252,-82.25924
75,28.01277,-82.25844
76,28.01293,-82.25787
77,28.01733,-82.23887
78,28.02174,-82.21998
79,28.02185,-82.21944
80,28.02204,-82.21837
81,28.02218,-82.21707
82,28.02224,-82.2159
83,28.02221,-82.21442
84,28.01968,-82.16008
85,28.01959,-82.157
86,28.01956,-82.14822
87,28.01953,-82.14736
88,28.01938,-82.14622
89,28.01857,-82.14219
90,28.01835,-82.14162
91,28.01536,-82.13561
92,28.01527,-82.13537
93,28.01526,-82.1299
94,28.01528,-82.1295
95,28.01546,-82.12839
96,28.01605,-82.12511
97,28.01776,-82.11527
98,28.01793,-82.11446
99,28.01827,-82.11321
100,28.01835,-82.11252
101,28.01841,-82.10809
102,28.01844,-82.10718
103,28.01853,-82.10631
104,28.02723,-82.05575
105,28.02745,-82.05466
106,28.02772,-82.05352
107,28.02965,-82.04641
108,28.03076,-82.04231
109,28.0311,-82.04097
110,28.03142,-82.03934
111,28.03253,-82.03275
112,28.03261,-82.03242
113,28.03449,-82.02152
114,28.03476,-82.02039
115,28.03966,-82.00144
116,28.03992,-82.00008
117,28.04148,-81.99006
118,28.05337,-81.99016
119,28.05473,-81.99019
120,28.05481,-81.97523
121,28.05491,-81.9655
122,28.05509,-81.94266
123,28.05505,-81.94173
124,28.05493,-81.94083
125,28.05473,-81.93993
126,28.05447,-81.93909
127,28.05311,-81.93557
128,28.05295,-81.93498
129,28.05285,-81.9343
130,28.05287,-81.93358
131,28.05301,-81.9325
132,28.05303,-81.93183
133,28.05291,-81.93106
134,28.05269,-81.93039
135,28.0524,-81.92982
136,28.05196,-81.9292
137,28.04993,-81.92663
138,28.04954,-81.92605
139,28.04931,-81.92568
140,28.04908,-81.92522
141,28.04883,-81.92458
142,28.04865,-81.92399
143,28.04844,-81.92317
144,28.04828,-81.92234
145,28.04821,-81.92151
146,28.04791,-81.91749
147,28.04787,-81.91608
148,28.04788,-81.90797
149,28.04784,-81.90577
150,28.04789,-81.85851
151,28.04795,-81.85728
152,28.04808,-81.85609
153,28.04982,-81.846
154,28.05011,-81.84469
155,28.05045,-81.84354
156,28.05092,-81.84223
157,28.05497,-81.83191
158,28.05541,-81.83053
159,28.05574,-81.82902
160,28.05595,-81.82767
161,28.05715,-81.81595
162,28.05742,-81.81439
163,28.05771,-81.81313
164,28.05823,-81.81152
165,28.05879,-81.8101
166,28.05958,-81.80859
167,28.06045,-81.80705
168,28.06081,-81.80621
169,28.06103,-81.80545
170,28.06113,-81.80474
171,28.06115,-81.80391
172,28.06109,-81.80309
173,28.06081,-81.80192
174,28.0594,-81.79678
175,28.05909,-81.79535
176,28.05892,-81.79401
177,28.05889,-81.79267
178,28.05887,-81.78914
179,28.05882,-81.78794
180,28.0585,-81.78187
181,28.05852,-81.78104
182,28.05864,-81.78027
183,28.05885,-81.77953
184,28.05916,-81.7788
185,28.05959,-81.77806
186,28.06009,-81.77739
187,28.06223,-81.77481
188,28.06298,-81.77369
189,28.06347,-81.77267
190,28.06388,-81.77154
191,28.06414,-81.7701
192,28.06519,-81.76321
193,28.06532,-81.76194
194,28.06541,-81.76033
195,28.06547,-81.75812
196,28.06567,-81.75673
197,28.06606,-81.75524
198,28.06676,-81.75354
199,28.07569,-81.73267
200,28.07624,-81.73162
201,28.07669,-81.73098
202,28.07713,-81.73052
203,28.0777,-81.73016
204,28.07824,-81.72992
205,28.07891,-81.72976
206,28.07947,-81.72975
207,28.08403,-81.72994
208,28.0851,-81.72988
209,28.08788,-81.72964
210,28.0883,-81.72962
211,28.09317,-81.72967
212,28.09356,-81.72958
213,28.09385,-81.72946
214,28.09399,-81.72938
215,28.09418,-81.72923
216,28.09439,-81.72903
217,28.09463,-81.72869
218,28.09486,-81.7283
219,28.09529,-81.72722
220,28.09544,-81.72662
221,28.0955,-81.72599
222,28.09552,-81.71969
223,28.09556,-81.71889
224,28.09592,-81.71755
225,28.09645,-81.71623
226,28.09711,-81.71513
227,28.09777,-81.71426
228,28.10016,-81.71141
229,28.10086,-81.71034
230,28.1014,-81.70926
231,28.10174,-81.70819
232,28.10551,-81.69039
233,28.10579,-81.68869
234,28.10802,-81.67207
235,28.10812,-81.6703
236,28.10805,-81.6685
237,28.10784,-81.66665
238,28.10667,-81.6596
239,28.10653,-81.6582
240,28.1065,-81.65645
241,28.10659,-81.64288
242,28.10664,-81.63888
243,28.10658,-81.63811
244,28.1064,-81.63735
245,28.10567,-81.63537
246,28.10547,-81.6345
247,28.10539,-81.63341
248,28.10545,-81.63251
249,28.10565,-81.63142
250,28.106,-81.6304
251,28.10647,-81.62957
252,28.10668,-81.62914
253,28.10674,-81.62879
254,28.10677,-81.61802
255,28.11358,-81.61799
256,28.11402,-81.61797
257,28.11476,-81.61799
258,28.11857,-81.61798
259,28.11963,-81.61796
260,28.1206,-81.61786
261,28.12131,-81.61775
262,28.12253,-81.61748
263,28.12337,-81.61722
264,28.12372,-81.61709
265,28.12473,-81.61668
266,28.12958,-81.61458
267,28.13125,-81.61401
268,28.13227,-81.61375
269,28.13308,-81.61358
270,28.14609,-81.61139
271,28.14662,-81.61128
272,28.14736,-81.61109
273,28.14795,-81.61091
274,28.14877,-81.61061
275,28.14922,-81.61042
276,28.15005,-81.61002
277,28.15117,-81.60938
278,28.15162,-81.60909
279,28.15206,-81.60877
280,28.15801,-81.60411
281,28.16054,-81.60233
282,28.16637,-81.59853
283,28.16704,-81.59816
284,28.16776,-81.59784
285,28.16856,-81.59756
286,28.17707,-81.59518
287,28.17803,-81.59489
288,28.17935,-81.59437
289,28.18054,-81.59377
290,28.23405,-81.56085
291,28.23534,-81.55996
292,28.23922,-81.55756
293,28.24047,-81.55685
294,28.24213,-81.55586
295,28.24574,-81.55363
296,28.2478,-81.55224
297,28.24907,-81.55134
298,28.25651,-81.54587
299,28.25687,-81.54559
300,28.2595,-81.54332
301,28.26009,-81.54274
302,28.26053,-81.54224
303,28.26083,-81.54182
304,28.26105,-81.54146
305,28.26138,-81.54084
306,28.26436,-81.53418
307,28.26465,-81.53345
308,28.26482,-81.53294
309,28.26499,-81.53226
310,28.2651,-81.53163
311,28.26516,-81.53113
312,28.26519,-81.53063
313,28.26519,-81.53024
314,28.26514,-81.52937
315,28.26506,-81.52883
316,28.26491,-81.52809
317,28.25631,-81.48865
318,28.25516,-81.48323
319,28.2549,-81.48141
320,28.25483,-81.48058
321,28.2548,-81.4797
322,28.25482,-81.47866
323,28.25496,-81.477
324,28.25602,-81.46769
325,28.25614,-81.46613
326,28.25654,-81.46222
327,28.25873,-81.44287
328,28.25902,-81.44087
329,28.2594,-81.43944
330,28.25988,-81.4379
331,28.26053,-81.43647
332,28.26121,-81.43522
