,Latitude,Longitude
0,36.01236,-114.74115
1,36.01142,-114.73918
2,36.01127,-114.73885
3,36.01122,-114.73876
4,36.01116,-114.73862
5,36.01083,-114.73791
6,36.01073,-114.73767
7,36.01064,-114.73743
8,36.01059,-114.73728
9,36.01054,-114.73715
10,36.0105,-114.73703
11,36.01035,-114.73652
12,36.01032,-114.73639
13,36.01021,-114.73598
14,36.01019,-114.73586
15,36.01016,-114.73573
16,36.01009,-114.73532
17,36.01,-114.73468
18,36.01,-114.73464
19,36.00998,-114.73451
20,36.00996,-114.7343
21,36.00982,-114.73326
22,36.00981,-114.73315
23,36.00981,-114.73313
24,36.00979,-114.73304
25,36.00979,-114.73299
26,36.00962,-114.73176
27,36.0096,-114.73165
28,36.00948,-114.7311
29,36.00944,-114.73097
30,36.00941,-114.73084
31,36.00933,-114.73054
32,36.00926,-114.73032
33,36.00921,-114.73019
34,36.00912,-114.72993
35,36.00907,-114.7298
36,36.00906,-114.72975
37,36.00903,-114.72969
38,36.00898,-114.72957
39,36.00891,-114.72938
40,36.00888,-114.72932
41,36.00877,-114.72907
42,36.0087,-114.72893
43,36.00866,-114.72884
44,36.00853,-114.72859
45,36.00847,-114.72849
46,36.00841,-114.72837
47,36.00814,-114.72792
48,36.00807,-114.72782
49,36.008,-114.72771
50,36.00771,-114.72729
51,36.00754,-114.72708
52,36.0074,-114.72692
53,36.00739,-114.7269
54,36.00731,-114.7268
55,36.00722,-114.72671
56,36.00714,-114.72662
57,36.00706,-114.72652
58,36.00688,-114.72634
59,36.0068,-114.72624
60,36.00673,-114.72618
61,36.00663,-114.72607
62,36.00617,-114.72561
63,36.00604,-114.72549
64,36.00587,-114.72532
65,36.00584,-114.7253
66,36.00573,-114.72519
67,36.00562,-114.7251
68,36.00558,-114.72506
69,36.00548,-114.72497
70,36.00543,-114.72492
71,36.00477,-114.72436
72,36.00475,-114.72434
73,36.00465,-114.72426
74,36.00456,-114.72418
75,36.0045,-114.72414
76,36.00438,-114.72404
77,36.00419,-114.7239
78,36.004,-114.72375
79,36.00381,-114.72362
80,36.00371,-114.72354
81,36.00335,-114.72329
82,36.00334,-114.72328
83,36.00283,-114.72295
84,36.00273,-114.72289
85,36.00255,-114.72277
86,36.00213,-114.72252
87,36.002,-114.72245
88,36.00199,-114.72244
89,36.00192,-114.7224
90,36.00184,-114.72236
91,36.00181,-114.72234
92,36.00167,-114.72226
93,36.0008,-114.72184
94,35.99837,-114.72073
95,35.99761,-114.72034
96,35.99592,-114.71942
97,35.99569,-114.71928
98,35.99553,-114.7192
99,35.99522,-114.71902
100,35.99521,-114.71901
101,35.99459,-114.71867
102,35.99458,-114.71867
103,35.99414,-114.7184
104,35.99387,-114.71826
105,35.99374,-114.71818
106,35.9936,-114.71811
107,35.99359,-114.7181
108,35.99342,-114.71801
109,35.99338,-114.71798
110,35.99332,-114.71795
111,35.99331,-114.71794
112,35.99328,-114.71792
113,35.99326,-114.71791
114,35.99321,-114.71789
115,35.9932,-114.71789
116,35.99281,-114.71767
117,35.99271,-114.71762
118,35.9926,-114.71755
119,35.99241,-114.71745
120,35.99231,-114.71739
121,35.99225,-114.71736
122,35.99091,-114.71661
123,35.99071,-114.71649
124,35.99012,-114.71617
125,35.9899,-114.71604
126,35.98897,-114.71552
127,35.98893,-114.71549
128,35.98861,-114.71531
129,35.98851,-114.71526
130,35.98832,-114.71515
131,35.98831,-114.71515
132,35.98802,-114.71499
133,35.98792,-114.71493
134,35.98782,-114.71488
135,35.98772,-114.71482
136,35.98762,-114.71477
