,Latitude,Longitude
0,42.6753396,-114.4434026
1,42.6756191,-114.4433881
2,42.6766166,-114.4433699
3,42.6772093,-114.4433751
4,42.6777668,-114.4433727
5,42.6781274,-114.443365
6,42.6785871,-114.4433581
7,42.6790496,-114.4433325
8,42.6804839,-114.443293
9,42.6816389,-114.4432955
10,42.683629,-114.4432997
11,42.6853967,-114.4433106
12,42.6876889,-114.4433172
13,42.6896274,-114.4433318
14,42.6901937,-114.4433285
15,42.6906954,-114.4433294
16,42.6917243,-114.4433358
17,42.6918612,-114.4433344
18,42.6920009,-114.4433328
19,42.6926282,-114.4433395
20,42.6946261,-114.4433474
21,42.6949719,-114.4433519
22,42.6966714,-114.4433499
23,42.6982526,-114.4433401
24,42.6985574,-114.4433402
25,42.6995728,-114.4433356
26,42.7011393,-114.4433314
27,42.7022063,-114.4433286
28,42.7072817,-114.4433147
29,42.7094492,-114.4433048
30,42.7103032,-114.4432914
31,42.7150315,-114.4432888
32,42.715758,-114.4432746
33,42.7184265,-114.4432625
34,42.718746,-114.4432595
35,42.7193402,-114.4432536
36,42.7202939,-114.4432474
37,42.720613,-114.4432362
38,42.7209357,-114.4432081
39,42.7212441,-114.4431745
40,42.7218599,-114.4431102
41,42.7224057,-114.4430526
42,42.7228139,-114.4429983
43,42.7231619,-114.4429512
44,42.7238707,-114.442856
45,42.7244156,-114.4427696
46,42.7247401,-114.4427014
47,42.7250796,-114.4426382
48,42.7252134,-114.4426027
49,42.7257968,-114.4424397
50,42.726385,-114.4422437
51,42.7270269,-114.4420117
52,42.7275731,-114.4418483
53,42.7276126,-114.4418361
54,42.7282753,-114.441636
55,42.7297272,-114.4411436
56,42.7318219,-114.4404626
57,42.7320673,-114.4403779
58,42.7347318,-114.4394761
59,42.7347921,-114.4394575
60,42.7365235,-114.4388923
61,42.7384452,-114.4382424
62,42.7413961,-114.4372354
63,42.742073,-114.4370035
64,42.7423409,-114.436943
65,42.744924,-114.4360739
66,42.746437,-114.4355647
67,42.750998,-114.4340357
68,42.7514299,-114.4339057
69,42.752246,-114.4337101
70,42.7528949,-114.4335538
71,42.754754,-114.433401
72,42.757769,-114.433426
73,42.759802,-114.4334075
74,42.759897,-114.4334116
75,42.761189,-114.433429
76,42.764174,-114.4334451
77,42.7659195,-114.4334393
78,42.7662614,-114.4334392
79,42.7665796,-114.433432
80,42.767728,-114.433382
81,42.7698261,-114.4334388
82,42.7703178,-114.4334398
83,42.77222,-114.433396
84,42.774131,-114.433428
85,42.774852,-114.433401
86,42.77565,-114.433429
87,42.776924,-114.433448
88,42.777878,-114.433451
89,42.778797,-114.433435
90,42.779051,-114.433435
91,42.780192,-114.433433
92,42.780265,-114.433433
93,42.78033,-114.433433
94,42.780378,-114.433433
95,42.781061,-114.433415
96,42.781958,-114.433413
97,42.785447,-114.4334555
98,42.786012,-114.433432
99,42.786722,-114.433467
100,42.7890844,-114.4334701
101,42.7927636,-114.4334678
102,42.7947604,-114.4334684
103,42.796404,-114.433445
104,42.8000546,-114.4334987
105,42.8020324,-114.4334868
106,42.8072264,-114.4334942
107,42.8080096,-114.4335047
108,42.8092134,-114.4334943
109,42.8109356,-114.4334922
110,42.812753,-114.4334923
111,42.8170183,-114.433525
112,42.8180747,-114.4335042
113,42.8182041,-114.4335105
114,42.8220896,-114.4335188
115,42.8225994,-114.4335316
116,42.824117,-114.4335531
117,42.825397,-114.4335716
118,42.828034,-114.433476
119,42.8290847,-114.4335024
120,42.829257,-114.4335113
121,42.8301132,-114.4335254
122,42.8326964,-114.4335311
123,42.8347912,-114.4335411
124,42.8363528,-114.43351
125,42.8387728,-114.4334961
126,42.8415572,-114.4334874
127,42.8438246,-114.4334829
128,42.8446457,-114.4335055
129,42.8489866,-114.4335092
130,42.8498152,-114.4335101
131,42.8507404,-114.4334944
132,42.8514112,-114.4335025
133,42.85214,-114.4335183
134,42.8530242,-114.4335085
135,42.853594,-114.4335029
