,Latitude,Longitude
0,36.5952888,-116.013171
1,36.5953556,-116.0126866
2,36.595412,-116.0122576
3,36.5954741,-116.0117492
4,36.5955309,-116.011261
5,36.5956001,-116.0107675
6,36.5956526,-116.0103392
7,36.5957292,-116.0098652
8,36.5958441,-116.0092388
9,36.595931,-116.0088038
10,36.5962927,-116.0068915
11,36.5972935,-116.001454
12,36.5976455,-115.9994755
13,36.5979513,-115.9978476
14,36.5980313,-115.9974078
15,36.5989718,-115.9923775
16,36.5993803,-115.9903081
17,36.5996075,-115.9890506
18,36.5998804,-115.9875768
19,36.6008018,-115.9826031
20,36.6011062,-115.9808504
21,36.6012598,-115.9797708
22,36.6013644,-115.9788517
23,36.6014458,-115.9780169
24,36.6015215,-115.9770071
25,36.6015795,-115.9760488
26,36.6016,-115.9755017
27,36.6015883,-115.974582
28,36.6015684,-115.9735205
29,36.6015282,-115.972497
30,36.6015217,-115.9723339
31,36.6014616,-115.9714713
32,36.6014211,-115.9709848
33,36.6014092,-115.9708523
34,36.6013815,-115.9705469
35,36.601346,-115.9702089
36,36.6012747,-115.9696254
37,36.6011976,-115.9689578
38,36.601166,-115.968684
39,36.6009693,-115.9674286
40,36.6009232,-115.9671587
41,36.6008229,-115.9665725
42,36.6006268,-115.9656376
43,36.6003728,-115.9645271
44,36.600055,-115.9633273
45,36.5994223,-115.961183
46,36.5983795,-115.9577145
47,36.5933079,-115.9405383
48,36.588385,-115.9242686
49,36.5796495,-115.8945781
50,36.5747107,-115.8782205
51,36.5740215,-115.8757399
52,36.5737251,-115.874401
53,36.5734907,-115.8732852
54,36.5732977,-115.8722123
55,36.5731529,-115.8711995
56,36.5730358,-115.8701695
57,36.5716365,-115.856943
58,36.5713106,-115.8537994
59,36.5701406,-115.8425149
60,36.5697511,-115.8387415
61,36.5675349,-115.8172807
62,36.5674522,-115.815976
63,36.5674039,-115.8146628
64,36.567397,-115.8129462
65,36.5674729,-115.8113669
66,36.5675862,-115.8100381
67,36.5677096,-115.8085926
68,36.5679205,-115.8070018
69,36.5687313,-115.8008903
70,36.5695446,-115.7943077
71,36.5695547,-115.7942265
72,36.5724487,-115.7709162
73,36.5735388,-115.7621368
74,36.574926,-115.7500669
75,36.5760093,-115.7400349
76,36.5760289,-115.7398531
77,36.5771722,-115.7307356
78,36.5774669,-115.7282612
79,36.577542,-115.727635
80,36.5779495,-115.7243811
81,36.5780085,-115.7239113
82,36.579053,-115.7155308
83,36.5796475,-115.7105204
84,36.5798457,-115.7076987
85,36.5798771,-115.7060788
86,36.579853,-115.7045235
87,36.5795569,-115.6989773
88,36.5795053,-115.6980117
89,36.5789755,-115.6892773
90,36.5788683,-115.6870881
91,36.5787038,-115.6837261
92,36.5786998,-115.6836447
93,36.578373,-115.678452
94,36.5783146,-115.6772367
95,36.5780865,-115.6735543
96,36.5778977,-115.6698639
97,36.577895,-115.669821
98,36.5777926,-115.6682422
99,36.5777423,-115.6672927
100,36.5776878,-115.6662638
101,36.577645,-115.6652502
102,36.5771834,-115.6577238
103,36.5771028,-115.6560857
104,36.5770681,-115.6553804
105,36.5770153,-115.6543513
106,36.5769001,-115.6525822
107,36.5767728,-115.6504663
108,36.5766518,-115.6483839
109,36.5765062,-115.6466992
