,Latitude,Longitude
0,32.6986,-114.59845
1,32.69867,-114.59868
2,32.69868,-114.59877
3,32.69868,-114.59895
4,32.69868,-114.59971
5,32.69868,-114.59996
6,32.69868,-114.60076
7,32.69867,-114.60174
8,32.69867,-114.60199
9,32.69867,-114.60302
10,32.69867,-114.60307
11,32.69867,-114.60315
12,32.69867,-114.60347
13,32.69867,-114.60411
14,32.69867,-114.60478
15,32.69867,-114.60531
16,32.69867,-114.60569
17,32.69866,-114.60587
18,32.69866,-114.6066
19,32.69865,-114.6078
20,32.69865,-114.60796
21,32.69865,-114.60807
22,32.69865,-114.60819
23,32.69865,-114.60881
24,32.69864,-114.60998
25,32.69863,-114.61034
26,32.69863,-114.6106
27,32.69863,-114.61073
28,32.69863,-114.61129
29,32.69863,-114.61154
30,32.69863,-114.61175
31,32.69863,-114.61186
32,32.69863,-114.61219
33,32.69863,-114.61257
34,32.69863,-114.61282
35,32.69863,-114.61341
36,32.69863,-114.61369
37,32.69863,-114.61398
38,32.69863,-114.6144
39,32.69863,-114.61442
40,32.69863,-114.6146
41,32.69863,-114.61502
42,32.69862,-114.61531
43,32.69863,-114.61549
44,32.69863,-114.61596
45,32.69862,-114.61676
46,32.69862,-114.61694
47,32.6986,-114.61757
48,32.6986,-114.61776
49,32.6986,-114.6178
50,32.69859,-114.61784
51,32.69858,-114.61814
52,32.69853,-114.61827
