,Latitude,Longitude
0,45.67584,-120.83612
1,45.67891,-120.83711
2,45.67938,-120.83721
3,45.67991,-120.83735
4,45.68049,-120.83729
5,45.68163,-120.83665
6,45.68223,-120.83605
7,45.68258,-120.83536
8,45.68277,-120.83438
9,45.68291,-120.83214
10,45.68309,-120.83131
11,45.68346,-120.83051
12,45.68513,-120.82908
13,45.68684,-120.82635
14,45.68753,-120.82459
15,45.68844,-120.82313
16,45.68919,-120.82137
17,45.69138,-120.81757
18,45.69201,-120.81697
19,45.69258,-120.81672
20,45.69313,-120.81676
21,45.69363,-120.81702
22,45.6952,-120.81796
23,45.69571,-120.81796
24,45.69617,-120.81788
25,45.69677,-120.81732
26,45.69706,-120.81682
27,45.69733,-120.81607
28,45.69746,-120.81552
29,45.69763,-120.81534
30,45.69791,-120.81534
31,45.69791,-120.81745
32,45.6977,-120.8194
33,45.69737,-120.82077
34,45.6962,-120.82401
35,45.69647,-120.82479
36,45.6968,-120.82504
37,45.69728,-120.82494
38,45.69985,-120.82371
39,45.70238,-120.82195
40,45.70355,-120.82049
41,45.70412,-120.81916
42,45.70637,-120.81054
43,45.70822,-120.8071
44,45.70915,-120.8032
45,45.70987,-120.80165
46,45.71077,-120.80101
47,45.71161,-120.80075
48,45.71251,-120.8008
49,45.71368,-120.80157
50,45.71697,-120.80518
51,45.72,-120.80801
52,45.72039,-120.80882
53,45.72063,-120.8096
54,45.72063,-120.81067
55,45.72042,-120.81256
56,45.72075,-120.81363
57,45.72114,-120.81427
58,45.72186,-120.8147
59,45.72243,-120.81453
60,45.72557,-120.81372
61,45.72656,-120.81406
62,45.72719,-120.81449
63,45.7286,-120.81612
64,45.72992,-120.81646
65,45.73243,-120.81599
66,45.73396,-120.81668
67,45.74088,-120.82135
68,45.74298,-120.82238
69,45.74477,-120.82281
70,45.74672,-120.82299
71,45.76741,-120.82333
72,45.77255,-120.82294
73,45.77765,-120.8229
74,45.78585,-120.82286
75,45.78723,-120.82264
76,45.7892,-120.82183
77,45.8056,-120.80908
78,45.80701,-120.80848
79,45.83108,-120.80269
80,45.8367,-120.80136
81,45.84224,-120.79853
82,45.84331,-120.79733
83,45.84496,-120.79454
84,45.84573,-120.79389
85,45.84771,-120.79282
86,45.84884,-120.79149
87,45.85416,-120.78364
88,45.85859,-120.7757
89,45.85996,-120.77304
90,45.8645,-120.76737
91,45.86875,-120.76064
92,45.87189,-120.75596
93,45.87287,-120.7551
94,45.87843,-120.75094
95,45.87953,-120.75051
96,45.88139,-120.75034
97,45.88237,-120.74982
98,45.88327,-120.74888
99,45.88378,-120.74806
100,45.8876,-120.7357
101,45.88853,-120.73382
102,45.89659,-120.7218
103,45.89725,-120.7194
104,45.89808,-120.71489
105,45.89868,-120.71335
106,45.89961,-120.71201
107,45.90056,-120.71137
108,45.90146,-120.71103
109,45.9028,-120.71137
110,45.90457,-120.71206
111,45.9063,-120.7121
112,45.90791,-120.71154
113,45.90911,-120.7106
114,45.91457,-120.70588
115,45.91547,-120.70532
116,45.91821,-120.70477
117,45.91902,-120.70417
118,45.91985,-120.70318
119,45.92108,-120.70164
120,45.92242,-120.70035
121,45.92371,-120.69949
122,45.92511,-120.69876
123,45.93123,-120.69756
124,45.93221,-120.69692
125,45.93278,-120.69619
126,45.93341,-120.69486
127,45.95042,-120.66439
128,45.95224,-120.66202
129,45.95424,-120.65996
130,45.95656,-120.65799
131,45.96271,-120.65396
132,45.96381,-120.65366
133,45.97443,-120.65284
134,45.97667,-120.65301
135,45.98201,-120.654
136,45.98353,-120.65366
137,45.98699,-120.65237
138,45.98881,-120.65237
139,45.99471,-120.65409
140,45.9959,-120.65405
141,45.9971,-120.6534
142,46.00064,-120.65027
143,46.0033,-120.64452
144,46.00655,-120.64092
145,46.00761,-120.6404
146,46.01111,-120.63976
147,46.01203,-120.63997
148,46.01439,-120.64105
149,46.01537,-120.6407
150,46.01615,-120.63993
151,46.01677,-120.63834
152,46.01832,-120.63293
153,46.01892,-120.63173
154,46.01993,-120.63083
155,46.02503,-120.62736
156,46.02583,-120.62667
157,46.02646,-120.62555
158,46.02687,-120.62448
159,46.02753,-120.6189
160,46.02997,-120.60749
161,46.03003,-120.60414
162,46.03283,-120.5953
163,46.03638,-120.58792
164,46.03745,-120.5856
165,46.03775,-120.58397
166,46.03855,-120.57706
167,46.03918,-120.57569
168,46.04383,-120.57234
169,46.04812,-120.57084
170,46.05074,-120.56826
171,46.05196,-120.56758
172,46.06831,-120.56337
173,46.06965,-120.56273
174,46.07081,-120.56174
175,46.07191,-120.56045
176,46.07414,-120.55732
177,46.07563,-120.55616
178,46.0887,-120.55118
179,46.09647,-120.54698
180,46.10679,-120.54123
181,46.11503,-120.53895
182,46.11771,-120.53771
183,46.12437,-120.53445
184,46.12583,-120.53325
185,46.12946,-120.5296
186,46.13574,-120.52149
187,46.14308,-120.51544
188,46.1517,-120.51007
189,46.15298,-120.50964
190,46.17099,-120.50445
191,46.17322,-120.50329
192,46.19738,-120.48763
193,46.19883,-120.48617
194,46.20139,-120.48239
195,46.2032,-120.48051
196,46.20376,-120.47948
197,46.20403,-120.47832
198,46.20448,-120.4733
199,46.20498,-120.47094
200,46.20602,-120.46811
201,46.21128,-120.45909
202,46.21273,-120.4557
203,46.2201,-120.4348
204,46.2217,-120.43146
205,46.22384,-120.42845
206,46.22559,-120.42669
207,46.23275,-120.41965
208,46.23411,-120.41892
209,46.24311,-120.41884
210,46.24602,-120.41807
211,46.24777,-120.41716
212,46.24964,-120.41583
213,46.25809,-120.40824
214,46.25993,-120.40729
215,46.26403,-120.40579
216,46.26593,-120.40468
217,46.27079,-120.4015
218,46.27302,-120.40047
219,46.27429,-120.39948
220,46.27536,-120.3982
221,46.27649,-120.39601
222,46.27711,-120.39399
223,46.27753,-120.39189
224,46.27759,-120.38906
225,46.27711,-120.37528
226,46.27747,-120.37253
227,46.27812,-120.37052
228,46.27895,-120.36871
229,46.28005,-120.36725
230,46.28142,-120.36597
231,46.29227,-120.36009
232,46.29547,-120.3591
233,46.29654,-120.35837
234,46.29734,-120.35726
235,46.29808,-120.35528
236,46.2998,-120.3497
237,46.30152,-120.34708
238,46.3022,-120.34524
239,46.30295,-120.33983
240,46.30366,-120.33781
241,46.30458,-120.33636
242,46.30633,-120.33464
243,46.32032,-120.32142
244,46.32216,-120.32048
245,46.32364,-120.32031
246,46.37027,-120.32014
247,46.38788,-120.35481
248,46.39081,-120.36035
249,46.39597,-120.36752
250,46.4404,-120.42807
251,46.4417,-120.42931
252,46.44354,-120.43
253,46.44546,-120.43017
254,46.45501,-120.43022
255,46.45634,-120.43056
256,46.45853,-120.43193
257,46.51129,-120.4733
258,46.51275,-120.47502
259,46.51417,-120.47742
260,46.51573,-120.4791
261,46.51715,-120.48008
262,46.51848,-120.48073
263,46.52046,-120.48073
264,46.52244,-120.48008
265,46.52391,-120.47918
266,46.52846,-120.47549
267,46.53014,-120.47446
268,46.53153,-120.47403
269,46.53327,-120.4739
270,46.53741,-120.47459
271,46.53856,-120.47425
272,46.53961,-120.47335
273,46.54101,-120.4718
274,46.54182,-120.47124
275,46.54383,-120.47086
276,46.54536,-120.47058
277,46.54558,-120.47052
278,46.5557,-120.4703
279,46.55692,-120.47038
280,46.55837,-120.47067
281,46.56092,-120.47164
282,46.56236,-120.47209
283,46.56363,-120.4723
284,46.56518,-120.4723
285,46.56838,-120.47202
286,46.57108,-120.47186
287,46.57993,-120.47179
288,46.58144,-120.47193
289,46.58305,-120.47231
290,46.5904,-120.47487
291,46.592,-120.47549
292,46.59339,-120.47625
293,46.59482,-120.47729
294,46.60766,-120.48791
295,46.60873,-120.48875
296,46.60987,-120.48947
297,46.61525,-120.49196
298,46.61634,-120.49257
299,46.61749,-120.49342
300,46.62127,-120.4974
301,46.62216,-120.49856
302,46.62297,-120.50004
303,46.62595,-120.50664
304,46.62764,-120.51078
305,46.62895,-120.51374
306,46.63187,-120.51837
307,46.63352,-120.52074
308,46.63487,-120.52241
309,46.6359,-120.52318
310,46.63693,-120.52335
311,46.63799,-120.52304
312,46.63881,-120.52244
313,46.63957,-120.52119
314,46.6405,-120.51868
315,46.64152,-120.51617
316,46.64357,-120.51193
317,46.64472,-120.50949
318,46.64584,-120.50682
319,46.64874,-120.49955
320,46.6495,-120.49821
321,46.65058,-120.49725
322,46.65186,-120.49674
323,46.65807,-120.4967
324,46.65928,-120.49639
325,46.66036,-120.49574
326,46.67527,-120.4838
327,46.6771,-120.48201
328,46.67873,-120.47983
329,46.68001,-120.4776
330,46.68908,-120.45962
