,Latitude,Longitude
0,30.5272934,-87.8861516
1,30.5275012,-87.8860813
2,30.5290066,-87.8860795
3,30.5295208,-87.8860789
4,30.5301835,-87.8860804
5,30.5309484,-87.8860737
6,30.532776,-87.8860633
7,30.5336608,-87.8860633
8,30.5345893,-87.8860727
9,30.535764,-87.8860626
10,30.5363878,-87.8860626
11,30.5369398,-87.886083
12,30.5372594,-87.8861238
13,30.5376462,-87.8861982
14,30.5379358,-87.8862702
15,30.538178,-87.8863257
16,30.5387349,-87.8865507
17,30.5392806,-87.8868047
18,30.5393601,-87.8868458
19,30.5398646,-87.8870824
20,30.5400452,-87.8871651
21,30.5405041,-87.8873274
22,30.540645,-87.8873736
23,30.5406943,-87.887464
24,30.5405995,-87.8875054
25,30.5405236,-87.88749
26,30.540031,-87.8873035
27,30.5398467,-87.8872191
28,30.5393399,-87.8869813
29,30.5392605,-87.8869403
30,30.5387193,-87.8866885
31,30.5381638,-87.886465
32,30.537938,-87.8864138
33,30.5376499,-87.8863422
34,30.5372689,-87.8862689
35,30.5369569,-87.8862291
36,30.5364113,-87.8862089
37,30.5357899,-87.8862089
38,30.5345927,-87.8862271
39,30.5336504,-87.8862229
40,30.5327552,-87.8861974
41,30.5309435,-87.8862074
42,30.5301631,-87.8862107
43,30.5299475,-87.8862086
44,30.5294742,-87.886204
45,30.5275069,-87.8862012
46,30.5272934,-87.8861516
47,30.5263933,-87.8861488
48,30.5246704,-87.8861496
49,30.5242559,-87.8861489
50,30.5242341,-87.8861489
51,30.5241201,-87.8861487
52,30.523658,-87.886148
53,30.5228908,-87.8861521
54,30.5228277,-87.8861524
55,30.5227324,-87.8861518
56,30.52231,-87.8861492
57,30.5221236,-87.8861481
58,30.521621,-87.886145
59,30.5209422,-87.8861484
60,30.5206401,-87.8861499
61,30.520029,-87.886153
62,30.519695,-87.88614
63,30.5192151,-87.8861411
64,30.5191993,-87.8861411
65,30.5190347,-87.8861416
66,30.518738,-87.8861423
67,30.518582,-87.8861427
68,30.5182569,-87.8861434
69,30.518077,-87.8861438
70,30.517861,-87.8861443
71,30.5176608,-87.8861448
72,30.517491,-87.8861452
73,30.5171793,-87.886146
74,30.517162,-87.886146
75,30.5169104,-87.8861515
76,30.516356,-87.886163
77,30.516079,-87.886159
78,30.5156873,-87.8861534
79,30.515662,-87.886153
80,30.515305,-87.886153
81,30.5144823,-87.886153
82,30.5144213,-87.886153
83,30.513617,-87.886153
84,30.5131473,-87.8861582
85,30.513077,-87.886159
86,30.5129039,-87.8861603
87,30.512807,-87.886161
88,30.5125315,-87.8861634
89,30.5122056,-87.8861662
90,30.511886,-87.886169
91,30.511158,-87.886158
92,30.510825,-87.886153
93,30.510707,-87.886153
94,30.5101443,-87.8861525
95,30.509982,-87.886151
96,30.5097767,-87.8861504
97,30.509624,-87.88615
98,30.5093966,-87.8861508
99,30.5091202,-87.886155
100,30.50882,-87.886153
101,30.508048,-87.886156
102,30.507604,-87.886153
103,30.507493,-87.886153
104,30.5070876,-87.8861511
105,30.506452,-87.886148
106,30.5061038,-87.8861445
107,30.5057875,-87.8861413
108,30.505753,-87.886141
109,30.505046,-87.886155
110,30.503312,-87.8861359
111,30.502797,-87.88613
112,30.5027716,-87.8861298
113,30.5022035,-87.8861234
114,30.501809,-87.886119
115,30.5013781,-87.8861269
116,30.5010764,-87.8861326
117,30.5004501,-87.8861455
118,30.5002009,-87.886151
119,30.498738,-87.8861828
120,30.4984338,-87.8861895
121,30.4980389,-87.8861981
122,30.4975029,-87.8862098
123,30.497354,-87.886213
124,30.4969535,-87.8863024
125,30.4967338,-87.886312
126,30.4965562,-87.8863197
127,30.496043,-87.88634
128,30.494512,-87.886377
129,30.494182,-87.886387
130,30.4928188,-87.8863835
131,30.4927128,-87.8863832
132,30.492264,-87.886382
133,30.491585,-87.886373
134,30.4908727,-87.8863769
135,30.4907504,-87.8863776
136,30.4905815,-87.8863785
137,30.487179,-87.886397
138,30.484345,-87.886366
139,30.483475,-87.886375
140,30.47982,-87.886373
141,30.478996,-87.886393
142,30.476117,-87.886404
143,30.472455,-87.886412
144,30.470426,-87.886388
145,30.469771,-87.886393
146,30.4697295,-87.8863925
147,30.46905,-87.886385
148,30.4689123,-87.8863806
149,30.468771,-87.886376
150,30.468329,-87.886363
151,30.467109,-87.886247
152,30.4676702,-87.8862238
153,30.468053,-87.886208
154,30.468763,-87.886221
155,30.46962,-87.886219
156,30.4697328,-87.8862137
157,30.470001,-87.886201
158,30.4705398,-87.8862014
159,30.472443,-87.886203
160,30.474711,-87.886213
161,30.4748129,-87.886211
162,30.4748953,-87.8862093
163,30.476108,-87.886185
164,30.477024,-87.886194
165,30.477786,-87.886212
166,30.478979,-87.8862143
167,30.479825,-87.886216
168,30.4800968,-87.8862133
169,30.4807649,-87.8862068
170,30.4810896,-87.8862036
171,30.4812606,-87.8862019
172,30.4816905,-87.8861977
173,30.481758,-87.886197
174,30.4830144,-87.8862021
175,30.483468,-87.886204
176,30.486811,-87.886197
177,30.487175,-87.886212
178,30.487857,-87.8861991
179,30.4880431,-87.8861981
180,30.4905854,-87.8861851
181,30.490975,-87.8861842
182,30.492423,-87.8861808
183,30.4925935,-87.8861804
184,30.49316,-87.886178
185,30.4945134,-87.886167
186,30.4953262,-87.8861553
187,30.4955309,-87.8861523
188,30.4956872,-87.88615
189,30.4965377,-87.8861377
190,30.4969579,-87.8861313
191,30.497354,-87.886213
